subway,price_2022-07-14,price_2022-07-17
ул. Дмитриевского,"10,200,000.00","10,200,000.00"
Юго-Восточная,"11,650,000.00","10,299,435.03"
Академическая,"22,100,000.00","10,583,475.78"
Медведково,"13,059,546.62","10,613,990.15"
Лухмановская,"12,650,000.00","10,850,000.00"
Щёлковская,"28,500,000.00","10,941,964.29"
Новогиреево,"12,700,000.00","10,990,000.00"
Одинцово,"12,793,844.55","10,997,900.00"
Алтуфьево,"11,500,000.00","11,000,000.00"
Водники,"11,085,714.29","11,100,000.00"
Беляево,"13,875,000.00","11,200,000.00"
Сходненская,,"11,234,042.55"
Коммунарка,"13,094,243.00","11,371,478.25"
Лихоборы,"11,500,000.00","11,500,000.00"
Хорошёво,"21,485,714.29","11,561,956.52"
Хлебниково,"13,569,096.42","11,666,239.90"
Филатов Луг,"12,178,813.80","11,681,850.00"
Жулебино,"12,578,000.00","11,795,000.00"
Окружная,"14,050,000.00","11,800,000.00"
Нахимовский проспект,"23,626,010.53","11,866,000.00"
Перерва,"13,500,000.00","11,905,857.74"
Щербинка,"13,383,333.33","11,950,000.00"
Ховрино,"12,255,877.62","11,968,958.79"
Преображенская площадь,"24,413,333.33","12,002,550.00"
Люблино,"12,033,333.33","12,050,000.00"
Селигерская,"16,992,677.35","12,223,293.99"
Царицыно,"16,083,428.57","12,246,444.44"
Текстильщики,"18,992,076.92","12,290,000.00"
Домодедовская,"11,775,865.75","12,317,640.00"
Сколково,"14,500,000.00","12,375,000.00"
Нахабино,"14,578,333.33","12,420,000.00"
Марьино,"13,108,667.65","12,472,142.50"
Лобня,"19,095,494.91","12,504,006.00"
Сетунь,"13,800,000.00","12,533,000.00"
Коптево,"13,261,097.50","12,609,466.14"
Депо,"10,933,333.33","12,650,625.71"
Силикатная,"11,790,000.00","12,663,333.33"
Битца,"12,719,937.50","12,698,625.00"
Саларьево,"25,875,699.90","12,861,987.94"
Лесопарковая,"14,479,622.11","12,984,288.62"
Новокосино,"14,250,249.75","13,355,777.56"
Белокаменная,"25,615,500.00","13,388,000.00"
Профсоюзная,"16,324,130.86","13,406,686.00"
Прокшино,"14,388,461.35","13,449,771.98"
Подольск,"12,056,250.00","13,518,333.33"
Опалиха,"12,175,039.15","13,577,209.33"
Красный строитель,"13,700,000.00","13,700,000.00"
Аннино,"11,884,285.71","13,800,000.00"
Чертановская,"14,380,000.00","13,864,102.56"
Некрасовка,"12,128,428.57","13,889,833.33"
Достоевская,"13,923,000.00","13,923,000.00"
Рабочий поселок,"17,308,512.82","14,084,953.70"
Шипиловская,"19,000,000.00","14,150,000.00"
Перово,"14,500,000.00","14,200,000.00"
Улица академика Янгеля,,"14,200,000.00"
Бибирево,"11,950,000.00","14,300,000.00"
Бутово,"16,937,479.09","14,315,333.33"
Митино,"16,900,000.00","14,350,000.00"
Бульвар адмирала Ушакова,"16,198,025.63","14,412,210.18"
Пенягино,"18,452,635.19","14,416,941.72"
Говорово,"14,736,827.11","14,495,642.86"
Рассказовка,"15,840,168.83","14,555,310.82"
Волоколамская,"14,950,000.00","14,733,333.33"
Ясенево,"18,325,000.00","14,820,000.00"
Крылатское,"28,707,776.67","14,836,006.80"
ВДНХ,"27,998,000.00","14,936,724.14"
Локомотив,"18,381,227.27","15,149,250.00"
Бунинская аллея,"16,703,495.33","15,349,327.50"
Шоссе Энтузиастов,"23,300,000.00","15,500,000.00"
Крымская,"13,557,142.86","15,500,000.00"
Нагатинская,"11,750,000.00","15,500,000.00"
Коломенская,"16,432,764.82","15,711,800.00"
Пролетарская,"15,117,500.00","15,824,324.32"
Ольховая,"16,527,794.04","15,898,857.76"
Стахановская,"10,611,746.03","16,200,000.00"
Бульвар Рокоссовского,"17,015,694.52","16,247,579.73"
Пятницкое шоссе,"18,842,857.14","16,550,000.00"
Хорошёвская,"15,050,909.00","16,767,572.48"
Бутырская,"15,498,000.00","16,874,000.00"
Красносельская,"17,000,000.00","17,000,000.00"
Братиславская,"15,181,944.44","17,200,000.00"
Отрадное,"28,217,441.86","17,300,000.00"
Петровско-Разумовская,,"17,300,000.00"
Владыкино,"15,951,280.00","17,447,374.40"
Дубровка,"11,050,000.00","17,450,000.00"
Авиамоторная,"24,812,248.89","17,713,333.33"
Строгино,"15,675,000.00","17,987,263.16"
Зорге,"21,647,600.70","18,048,049.59"
Первомайская,"12,466,666.67","18,087,500.00"
Солнцево,"19,312,671.54","18,308,560.50"
Студенческая,,"18,500,000.00"
Кунцевская,"21,828,000.00","18,866,666.67"
Волгоградский проспект,"19,396,218.61","19,676,411.74"
Соколиная гора,"16,000,000.00","20,050,000.00"
Мичуринский проспект,"24,233,124.26","20,051,786.40"
Озёрная,"26,793,649.25","20,289,709.57"
Трикотажная,"19,877,878.62","20,370,628.02"
Тушинская,"18,203,776.20","20,613,849.17"
Молодёжная,"22,209,700.00","20,916,000.00"
Народное ополчение,"33,312,555.56","21,241,625.00"
Лефортово,"18,275,000.00","21,250,000.00"
Нагорная,"25,513,628.69","21,269,401.33"
Речной вокзал,"23,449,028.57","21,293,111.11"
Беломорская,"24,803,684.21","21,300,000.00"
Римская,,"21,500,000.00"
Новаторская,"18,699,391.54","21,618,972.67"
Бабушкинская,"22,540,000.00","21,700,000.00"
Новоясеневская,,"21,750,000.00"
Тульская,"29,250,000.00","21,875,515.00"
Спартак,"28,777,296.00","22,423,694.00"
Сокольники,,"22,440,000.00"
Измайловская,"18,726,666.67","22,528,333.33"
Верхние Котлы,"32,000,000.00","22,950,000.00"
Варшавская,"24,183,772.68","23,321,776.51"
Черкизовская,"16,617,000.00","23,450,000.00"
Октябрьское поле,"16,311,310.17","23,471,762.41"
Проспект Мира,"23,928,571.43","23,979,166.67"
Угрешская,"17,247,921.76","24,319,315.67"
Бауманская,"33,486,250.00","24,431,250.00"
Киевская,"24,500,000.00","24,500,000.00"
Кожуховская,"24,666,000.00","24,555,000.00"
Водный стадион,"20,503,668.35","24,707,843.16"
Улица Скобелевская,"21,862,500.00","25,000,000.00"
Павшино,"19,575,000.00","25,200,000.00"
Ростокино,"16,921,561.57","25,281,819.53"
Ботанический сад,"28,940,743.29","25,544,183.75"
Калужская,"24,100,000.00","25,720,000.00"
Полежаевская,"23,062,440.18","25,860,066.78"
Пионерская,"23,949,503.66","26,479,387.93"
