Ветка,Название станции,Удаленность от центра
1,Бульвар Рокоссовского,17.330000000000002
1,Черкизовская,17.14
1,Преображенская площадь,13.750000000000002
1,Сокольники,9.33
1,Красносельская,7.21
1,Комсомольская,5.79
1,Красные Ворота,4.45
1,Чистые пруды,2.82
1,Лубянка,0.95
1,Охотный Ряд,0.83
1,Библиотека имени Ленина,1.34
1,Кропоткинская,2.5100000000000002
1,Парк культуры,4.66
1,Фрунзенская,6.74
1,Спортивная,8.55
1,Воробьёвы горы,10.59
1,Университет,14.899999999999999
1,Проспект Вернадского,19.439999999999998
1,Юго-Западная,22.62
1,Тропарёво,25.580000000000002
1,Румянцево,30.009999999999998
1,Саларьево,32.879999999999995
1,Филатов Луг,36.55
1,Прокшино,35.47
1,Ольховая,34.69
1,Коммунарка,34.599999999999994
2,Ховрино,26.540000000000003
2,Беломорская,25.71
2,Речной вокзал,24.44
2,Водный стадион,21.85
2,Войковская,18.64
2,Сокол,15.75
2,Аэропорт,13.309999999999999
2,Динамо,9.67
2,Белорусская,6.02
2,Маяковская,4.01
2,Тверская,2.91
2,Театральная,0.83
2,Новокузнецкая,1.95
2,Павелецкая,3.74
2,Автозаводская,8.32
2,Технопарк,10.34
2,Коломенская,11.86
2,Каширская,12.590000000000002
2,Кантемировская,15.459999999999999
2,Царицыно,18.01
2,Орехово,21.63
2,Домодедовская,23.86
2,Красногвардейская,26.279999999999998
2,Алма-Атинская,26.55
3,Пятницкое шоссе,36.86
3,Митино,35.099999999999994
3,Волоколамская,31.979999999999997
3,Мякинино,30.78
3,Строгино,26.779999999999998
3,Крылатское,21.990000000000002
3,Молодёжная,21.759999999999998
3,Кунцевская,19.8
3,Славянский бульвар,17.119999999999997
3,Парк Победы,12.1
3,Киевская,6.4399999999999995
3,Смоленская,4.49
3,Арбатская,1.91
3,Площадь Революции,0.47000000000000003
3,Курская,4.34
3,Бауманская,7.59
3,Электрозаводская,11.15
3,Семёновская,12.78
3,Партизанская,16.25
3,Измайловская,19.6
3,Первомайская,21.82
3,Щёлковская,23.35
4,Кунцевская,19.8
4,Пионерская,17.19
4,Филёвский парк,15.2
4,Багратионовская,13.420000000000002
4,Фили,11.450000000000001
4,Кутузовская,10.12
4,Студенческая,8.790000000000001
4,Международная,9.21
4,Выставочная,8.290000000000001
4,Киевская,6.4399999999999995
4,Смоленская,4.569999999999999
4,Арбатская,1.91
4,Александровский сад,1.44
5,Парк культуры,4.66
5,Октябрьская,3.46
5,Добрынинская,2.73
5,Павелецкая,3.74
5,Таганская,4.390000000000001
5,Курская,4.34
5,Комсомольская,5.79
5,Проспект Мира,3.9699999999999998
5,Новослободская,4.569999999999999
5,Белорусская,6.02
5,Краснопресненская,5.04
5,Киевская,6.4399999999999995
6,Медведково,17.21
6,Бабушкинская,15.6
6,Свиблово,13.33
6,Ботанический сад,11.06
6,ВДНХ,8.790000000000001
6,Алексеевская,7.08
6,Рижская,5.28
6,Проспект Мира,3.9699999999999998
6,Сухаревская,2.94
6,Тургеневская,2.58
6,Китай-город,1.39
6,Третьяковская,1.69
6,Октябрьская,3.46
6,Шаболовская,4.81
6,Ленинский проспект,7.9399999999999995
6,Академическая,11.19
6,Профсоюзная,13.3
6,Новые Черёмушки,14.95
6,Калужская,18.01
6,Беляево,20.369999999999997
6,Коньково,22.24
6,Тёплый Стан,24.8
6,Ясенево,23.47
6,Новоясеневская,21.97
7,Планерная,28.98
7,Сходненская,27.82
7,Тушинская,25.7
7,Спартак,24.94
7,Щукинская,20.91
7,Октябрьское Поле,16.75
7,Полежаевская,12.740000000000002
7,Беговая,9.71
7,Улица 1905 года,6.72
7,Баррикадная,4.66
7,Пушкинская,2.8899999999999997
7,Кузнецкий Мост,1.01
7,Китай-город,1.35
7,Таганская,4.390000000000001
7,Пролетарская,6.819999999999999
7,Волгоградский проспект,9.629999999999999
7,Текстильщики,15.55
7,Кузьминки,19.509999999999998
7,Рязанский проспект,20.94
7,Выхино,23.56
7,Лермонтовский проспект,28.299999999999997
7,Жулебино,30.380000000000003
7,Котельники,31.64
8,Третьяковская,1.69
8,Марксистская,4.96
8,Площадь Ильича,6.800000000000001
8,Авиамоторная,9.73
8,Шоссе Энтузиастов,13.5
8,Перово,17.0
8,Новогиреево,19.71
8,Новокосино,25.14
8,Рассказовка,40.589999999999996
8,Новопеределкино,37.940000000000005
8,Боровское шоссе,35.67
8,Солнцево,33.19
8,Говорово,29.82
